CZ.Name,State,Racial.Segregation,Income.Segregation,Household.Income.per.capita,Local.Tax.Rate,Local.Government.Expenditures.Per.Capita,Labor.Force.Participation.Rate,Social.Capital.Index,Fraction.Religious
Ruston,LA,0.2065351,0.0400257,24714.89,0.0171584,1398.201,0.553506,-0.93554928,0.5675401
Many,LA,0.1600518,0.0179364,30067.25,0.0185847,1852.557,0.5068581,-1.5564642,0.7088964
Crossett,AR,0.0538631,0.0112534,30092.7,0.0146102,1466.796,0.5609097,-0.18329435,0.7990004
Pine Bluff,AR,0.2375423,0.0459956,27098.61,0.0154404,1369.618,0.5477696,-0.92264574,0.5245298
El Dorado,AR,0.0933336,0.0221457,30514.27,0.0128945,1389.883,0.5621301,-0.21225491,0.6722053
Little Rock,AR,0.2781138,0.0726473,36101.2,0.0166927,1686.617,0.6632895,-0.04735735,0.5768307
Stuttgart,AR,0.1133922,0.0180924,30499.94,0.0134976,1426.595,0.57775,-0.36749741,0.6576636
Searcy,AR,0.1350294,0.0269893,28364.96,0.0116559,1251.84,0.5950115,-0.74224194,0.6104809
London,KY,0.1053509,0.0283786,22044.17,0.0093803,1163.926,0.4922809,-1.4618113,0.5068757
Richmond,KY,0.1052819,0.0506054,25663.87,0.0133128,1205.431,0.5941269,-1.3284847,0.4127615
West Liberty,KY,0.1574551,0.0111309,20801.63,0.0092911,1271.852,0.4234694,-1.2892047,0.2139435
Hazard,KY,0.0957294,0.0139384,20987.14,0.0105937,1263.873,0.4214072,-1.3478979,0.3514446
Campbellsville,KY,0.0670128,0.0103294,26922.56,0.0091337,1624.228,0.5706365,-0.49900086,0.6365532
Somerset,KY,0.0467136,0.0211837,24891.55,0.0121247,1270.797,0.5287137,-1.140307,0.5383406
Greenwood,MS,0.2232873,0.0454371,25756.36,0.0162208,2172.377,0.5468919,-0.76446792,0.4744796
Clarksdale,MS,0.1406819,0.021607,25221.86,0.0155589,1928.174,0.5525163,-0.76081555,0.4444539
